site_name,site_id,trap_type,site_dep,lat,long,depth_m
Deep Pickles East ,DPE,ML,DPE-ML,N 24°58.9550',W 080°24.3455',36.3
Staceyfish ,SFS,GT,SFS-GT,N 24°58.9688',W 080°24.2398',39.6
Staceyfish ,SFS,ML,SFS-ML,N 24°58.9776',W 080°24.2418',39.6
Cold Pickles ,CP,GT,CP-GT,N 24°59.0732',W 080°24.1123',38.4
Cold Pickles ,CP,ML,CP-ML,N 24°59.0724',W 080°24.1224',38.4
Pats Big One,PBO,GT,PBO-GT,N 24°42.4596',W 080°50.8063',32.9
Pats Big One,PBO,ML,PBO-ML,N 24°42.4584',W 080°50.8140',32.9
Sand Coral,SC,GT,SC-GT,N 24°42.1715',W 080°51.4949',34.4
Sand Coral,SC,ML,SC-ML,N 24°42.1704',W 080°51.5046',34.4
Big Rocks,BR,GT,BR-GT,N 24°41.9366',W 080°52.0817',34.7
Big Rocks,BR,ML,BR-ML,N 24°41.9358',W 080°52.0896',34.7
Weird Reef,WR,GT,WR-GT,N 24°41.8081',W 080°52.4698',32.6
Weird Reef,WR,ML,WR-ML,N 24°41.8122',W 080°52.4766',32.6
