"site_name","site_id","trap_type","site_dep","depth_m","clean_lat","clean_long","lat_deg","lat_min","long_deg","long_min","lat_dd","long_dd"
"Grocery Ledge West","GLW","GT","GLW-GT",39.6,"24°48.9551","080°38.6210",24,48.9551,80,38.621,24.8159183333333,-80.6436833333333
"Grocery Ledge West","GLW","ML","GLW-ML",39.6,"24°48.9619","080°38.6205",24,48.9619,80,38.6205,24.8160316666667,-80.643675
"Grocery Ledge Patch","GLP","GT","GLP-GT",42.7,"24°49.0455","080°38.5158",24,49.0455,80,38.5158,24.817425,-80.64193
"Grocery Ledge Patch","GLP","ML","GLP-ML",42.7,"24°49.0450","080°38.5130",24,49.045,80,38.513,24.8174166666667,-80.6418833333333
"Higher","HI","GT","HI-GT",42.7,"24°49.3453","080°38.2737",24,49.3453,80,38.2737,24.8224216666667,-80.637895
"Higher","HI","ML","HI-ML",42.7,"24°49.3420","080°38.2699",24,49.342,80,38.2699,24.8223666666667,-80.6378316666667
"Billy Wishes","BW","GT","BW-GT",38.4,"24°49.0390","080°38.6410",24,49.039,80,38.641,24.8173166666667,-80.6440166666667
"Billy Wishes","BW","ML","BW-ML",38.4,"24°49.0434","080°38.6348",24,49.0434,80,38.6348,24.81739,-80.6439133333333
"Max Claws West","MCW","GT","MCW-GT",42.1,"24°49.2843","080°38.3442",24,49.2843,80,38.3442,24.821405,-80.63907
"Max Claws West","MCW","ML","MCW-ML",42.1,"24°49.2885","080°38.3302",24,49.2885,80,38.3302,24.821475,-80.6388366666667
"Buccees","BC","GT","BC-GT",39.6,"24°49.4161","080°38.2004",24,49.4161,80,38.2004,24.8236016666667,-80.6366733333333
"Buccees","BC","ML","BC-ML",39.6,"24°49.4104","080°38.1868",24,49.4104,80,38.1868,24.8235066666667,-80.6364466666667
"Grocery Ledge West","GLW","GT","GLW-GT",42.7,"24°48.9610","080°38.5934",24,48.961,80,38.5934,24.8160166666667,-80.6432233333333
"Grocery Ledge West","GLW","ML","GLW-ML",42.7,"24°48.9658","080°38.5954",24,48.9658,80,38.5954,24.8160966666667,-80.6432566666667
"Higher ","HI","GT","HI-GT",42.9,"24°49.3408","080°38.2750",24,49.3408,80,38.275,24.8223466666667,-80.6379166666667
"Higher ","HI","ML","HI-ML",42.9,"24°49.3430","080°38.2730",24,49.343,80,38.273,24.8223833333333,-80.6378833333333
"Billy Wishes ","BW","GT","BW-GT",40.5,"24°49.0420","080°38.6419",24,49.042,80,38.6419,24.8173666666667,-80.6440316666667
"Billy Wishes","BW","ML","BW-ML",40.5,"24°49.0476","080°38.6482",24,49.0476,80,38.6482,24.81746,-80.6441366666667
"124 Reef","124R","GT","124R-GT",37.7,"24°55.9909","080°28.4219",24,55.9909,80,28.4219,24.9331816666667,-80.4736983333333
"124 Reef","124R","ML","124R-ML",37.7,"24°55.9847","080°28.4294",24,55.9847,80,28.4294,24.9330783333333,-80.4738233333333
"Key Largo Site #1 ","KL1","GT","KL1-GT",46.3,"24°58.6696","080°24.2229",24,58.6696,80,24.2229,24.9778266666667,-80.403715
"Key Largo Site #1","KL1","ML","KL1-ML",46.3,"24°58.6625","080°24.2322",24,58.6625,80,24.2322,24.9777083333333,-80.40387
"Key Largo Site #2","KL2","GT","KL2-GT",46.3,"24°58.7981","080°24.0093",24,58.7981,80,24.0093,24.9799683333333,-80.400155
"Key Largo Site #2","KL2","ML","KL2-ML",46.3,"24°58.7965","080°23.9974",24,58.7965,80,23.9974,24.9799416666667,-80.3999566666667
"Key Largo Site #3","KL3","GT","KL3-GT",46.6,"24°58.8366","080°23.9099",24,58.8366,80,23.9099,24.98061,-80.3984983333333
"Key Largo Site #3","KL3","ML","KL3-ML",46.6,"24°58.8336","080°23.9118",24,58.8336,80,23.9118,24.98056,-80.39853
"BL Sailboat ","BLS","GT","BLS-GT",39.6,"24°47.2532","080°41.1466",24,47.2532,80,41.1466,24.7875533333333,-80.6857766666667
"BL Sailboat ","BLS","ML","BLS-ML",39.6,"24°47.2554","080°41.1492",24,47.2554,80,41.1492,24.78759,-80.68582
"134 FAD","134F","GT","134F-GT",39.1,"24°45.9978","080°42.5332",24,45.9978,80,42.5332,24.76663,-80.7088866666667
